epoch,train_error,test_error,epoch_time,convergence_time
0,0.193439,0.980000,6081,0
1,0.182732,0.980000,5423,0
2,0.182459,0.850000,5419,0
3,0.182310,0.850000,5503,0
4,0.182194,0.850000,5429,0
5,0.182066,0.850000,5375,0
6,0.181889,0.840000,5479,0
7,0.181621,0.790000,5555,0
8,0.181211,0.680000,5334,0
9,0.180600,0.740000,5368,0
10,0.179733,0.770000,5281,0
11,0.178572,0.770000,6083,0
12,0.177114,0.770000,5480,0
13,0.175402,0.760000,5388,0
14,0.173513,0.750000,5881,0
15,0.171543,0.750000,5952,0
16,0.169576,0.750000,6332,0
17,0.167677,0.730000,6252,0
18,0.165880,0.710000,5954,0
19,0.164199,0.690000,6236,0
20,0.162636,0.640000,5724,0
21,0.161180,0.610000,6196,0
22,0.159818,0.610000,6134,0
23,0.158536,0.600000,6711,0
24,0.157320,0.590000,6222,0
25,0.156155,0.590000,6034,0
26,0.155028,0.590000,6857,0
27,0.153928,0.560000,6672,0
28,0.152842,0.550000,6048,0
29,0.151762,0.550000,5664,0
30,0.150677,0.540000,6032,0
31,0.149580,0.530000,6275,0
32,0.148464,0.530000,6326,0
33,0.147321,0.520000,6087,0
34,0.146148,0.510000,6162,0
35,0.144940,0.500000,6612,0
36,0.143695,0.490000,6182,0
37,0.142412,0.490000,7997,0
38,0.141091,0.470000,6645,0
39,0.139735,0.440000,6308,0
40,0.138347,0.440000,6265,0
41,0.136932,0.440000,8068,0
42,0.135494,0.430000,6779,0
43,0.134040,0.430000,6433,0
44,0.132575,0.440000,6707,0
45,0.131107,0.440000,7154,0
46,0.129639,0.440000,6957,0
47,0.128179,0.440000,7372,0
48,0.126730,0.440000,7074,0
49,0.125297,0.420000,7086,0
