epoch,train_error,test_error,epoch_time,convergence_time
0,0.163404,0.350000,4144,8582
1,0.089144,0.320000,4437,8582
2,0.063897,0.320000,4949,8582
3,0.049524,0.310000,5110,8582
4,0.040123,0.290000,5292,8582
5,0.033528,0.290000,4960,8582
6,0.028744,0.280000,5449,8582
7,0.025170,0.260000,5134,8582
8,0.022402,0.260000,5097,8582
9,0.020194,0.260000,5022,8582
10,0.018391,0.270000,5516,8582
11,0.016890,0.260000,6965,8582
12,0.015620,0.270000,5630,8582
13,0.014532,0.270000,5138,8582
14,0.013588,0.270000,5366,8582
15,0.012762,0.270000,5266,8582
16,0.012033,0.270000,5316,8582
17,0.011384,0.270000,5206,8582
18,0.010803,0.270000,5385,8582
19,0.010279,0.270000,5857,8582
20,0.009805,0.270000,5353,8582
21,0.009373,0.270000,5754,8582
22,0.008979,0.270000,5323,8582
23,0.008617,0.270000,5472,8582
24,0.008283,0.270000,5582,8582
25,0.007975,0.270000,5739,8582
26,0.007690,0.270000,5769,8582
27,0.007424,0.270000,6015,8582
28,0.007177,0.270000,5451,8582
29,0.006946,0.270000,5235,8582
30,0.006729,0.270000,5256,8582
31,0.006526,0.270000,5580,8582
32,0.006335,0.270000,5666,8582
33,0.006155,0.270000,5255,8582
34,0.005986,0.270000,5710,8582
35,0.005825,0.270000,5306,8582
36,0.005673,0.270000,5382,8582
37,0.005529,0.270000,5335,8582
38,0.005392,0.270000,5251,8582
39,0.005262,0.270000,5473,8582
40,0.005138,0.270000,6323,8582
41,0.005020,0.270000,5697,8582
42,0.004907,0.270000,5767,8582
43,0.004799,0.270000,5610,8582
44,0.004696,0.270000,5236,8582
45,0.004598,0.270000,5051,8582
46,0.004503,0.270000,5064,8582
47,0.004413,0.270000,4926,8582
48,0.004326,0.270000,5158,8582
49,0.004242,0.270000,5321,8582
