epoch,train_error,test_error,epoch_time,convergence_time
0,0.194328,0.980000,5073,120231
1,0.183298,0.980000,5041,120231
2,0.183162,0.850000,5364,120231
3,0.183199,0.850000,5439,120231
4,0.183281,0.850000,4919,120231
5,0.183262,0.850000,4775,120231
6,0.182913,0.800000,4757,120231
7,0.181850,0.660000,5081,120231
8,0.179621,0.680000,4891,120231
9,0.176101,0.690000,4713,120231
10,0.171799,0.680000,4884,120231
11,0.167444,0.650000,4602,120231
12,0.163415,0.600000,4823,120231
13,0.159694,0.570000,4721,120231
14,0.156044,0.550000,4595,120231
15,0.152095,0.490000,4744,120231
16,0.147391,0.460000,4719,120231
17,0.141580,0.440000,4670,120231
18,0.134760,0.420000,4611,120231
19,0.127436,0.390000,4584,120231
20,0.120090,0.390000,4587,120231
21,0.113041,0.390000,4590,120231
22,0.106459,0.390000,4668,120231
23,0.100383,0.400000,4714,120231
24,0.094775,0.380000,4650,120231
25,0.089582,0.380000,4626,120231
26,0.084763,0.370000,4590,120231
27,0.080285,0.370000,4587,120231
28,0.076112,0.360000,4515,120231
29,0.072204,0.330000,4508,120231
30,0.068518,0.300000,4490,120231
31,0.065013,0.300000,4547,120231
32,0.061655,0.300000,4728,120231
33,0.058418,0.300000,4526,120231
34,0.055283,0.300000,4559,120231
35,0.052240,0.300000,5257,120231
36,0.049285,0.300000,5286,120231
37,0.046418,0.300000,4527,120231
38,0.043642,0.290000,4706,120231
39,0.040961,0.290000,4735,120231
40,0.038380,0.290000,4637,120231
41,0.035904,0.300000,4654,120231
42,0.033538,0.300000,4528,120231
43,0.031290,0.300000,4520,120231
44,0.029170,0.300000,4522,120231
45,0.027187,0.300000,4517,120231
46,0.025345,0.300000,4510,120231
47,0.023645,0.300000,4507,120231
48,0.022084,0.300000,5253,120231
49,0.020654,0.280000,4609,120231
