epoch,train_error,test_error,epoch_time,convergence_time
0,0.193270,1.000000,6117,100079
1,0.184902,0.850000,6394,100079
2,0.185499,0.850000,6517,100079
3,0.185641,0.840000,6183,100079
4,0.184223,0.670000,6025,100079
5,0.180312,0.690000,5864,100079
6,0.174482,0.690000,6059,100079
7,0.168321,0.650000,5957,100079
8,0.162616,0.550000,5930,100079
9,0.157193,0.560000,5839,100079
10,0.151181,0.490000,5842,100079
11,0.143171,0.460000,5835,100079
12,0.132552,0.410000,5732,100079
13,0.120810,0.390000,5516,100079
14,0.109839,0.400000,5589,100079
15,0.100307,0.400000,5268,100079
16,0.091981,0.390000,5393,100079
17,0.084554,0.390000,5314,100079
18,0.077845,0.360000,5286,100079
19,0.071710,0.320000,5357,100079
20,0.066021,0.310000,5433,100079
21,0.060675,0.300000,5311,100079
22,0.055601,0.310000,5246,100079
23,0.050755,0.300000,5204,100079
24,0.046125,0.300000,5228,100079
25,0.041709,0.300000,5181,100079
26,0.037515,0.300000,5186,100079
27,0.033554,0.300000,5154,100079
28,0.029866,0.300000,5493,100079
29,0.026520,0.300000,5485,100079
30,0.023573,0.300000,6202,100079
31,0.021037,0.290000,6044,100079
32,0.018877,0.280000,5776,100079
33,0.017036,0.280000,5318,100079
34,0.015456,0.270000,6029,100079
35,0.014081,0.270000,5685,100079
36,0.012873,0.270000,6279,100079
37,0.011805,0.270000,6059,100079
38,0.010860,0.270000,5462,100079
39,0.010025,0.260000,5866,100079
40,0.009290,0.260000,6358,100079
41,0.008643,0.260000,6722,100079
42,0.008071,0.260000,6088,100079
43,0.007563,0.260000,5707,100079
44,0.007111,0.260000,5677,100079
45,0.006707,0.260000,5554,100079
46,0.006343,0.260000,5751,100079
47,0.006015,0.260000,5571,100079
48,0.005717,0.260000,5422,100079
49,0.005445,0.260000,5409,100079
