epoch,train_error,test_error,epoch_time,convergence_time
0,0.193049,0.980000,5882,130938
1,0.183139,0.980000,5597,130938
2,0.182964,0.850000,5718,130938
3,0.182963,0.850000,5560,130938
4,0.183011,0.840000,5399,130938
5,0.182955,0.750000,5001,130938
6,0.182547,0.720000,5183,130938
7,0.181370,0.710000,4813,130938
8,0.178964,0.720000,4947,130938
9,0.175255,0.730000,4779,130938
10,0.170824,0.720000,4843,130938
11,0.166421,0.630000,5584,130938
12,0.162406,0.570000,5318,130938
13,0.158751,0.570000,4860,130938
14,0.155231,0.530000,5014,130938
15,0.151515,0.510000,4904,130938
16,0.147176,0.450000,4912,130938
17,0.141803,0.420000,4787,130938
18,0.135321,0.420000,4899,130938
19,0.128159,0.410000,5925,130938
20,0.120897,0.420000,5334,130938
21,0.113924,0.400000,5492,130938
22,0.107403,0.390000,5418,130938
23,0.101351,0.390000,5451,130938
24,0.095728,0.400000,5299,130938
25,0.090498,0.390000,5427,130938
26,0.085640,0.390000,5353,130938
27,0.081135,0.390000,5418,130938
28,0.076954,0.360000,5667,130938
29,0.073054,0.340000,5402,130938
30,0.069386,0.330000,5983,130938
31,0.065903,0.320000,5277,130938
32,0.062562,0.310000,6419,130938
33,0.059332,0.300000,5733,130938
34,0.056188,0.300000,7302,130938
35,0.053119,0.310000,6810,130938
36,0.050119,0.310000,6246,130938
37,0.047190,0.310000,4912,130938
38,0.044334,0.310000,4807,130938
39,0.041554,0.300000,5839,130938
40,0.038854,0.300000,4571,130938
41,0.036242,0.300000,4298,130938
42,0.033730,0.300000,4022,130938
43,0.031336,0.300000,4071,130938
44,0.029079,0.300000,4737,130938
45,0.026975,0.300000,4308,130938
46,0.025035,0.280000,4300,130938
47,0.023262,0.280000,4269,130938
48,0.021648,0.280000,4289,130938
49,0.020184,0.280000,4352,130938
