epoch,train_error,test_error,epoch_time,convergence_time
0,0.193057,0.980000,7143,157606
1,0.183116,0.980000,7869,157606
2,0.182931,0.850000,8345,157606
3,0.182932,0.850000,6635,157606
4,0.182988,0.850000,7134,157606
5,0.182940,0.840000,7431,157606
6,0.182526,0.700000,6398,157606
7,0.181337,0.710000,6769,157606
8,0.178969,0.720000,6380,157606
9,0.175430,0.720000,7824,157606
10,0.171276,0.700000,8905,157606
11,0.167138,0.650000,7660,157606
12,0.163305,0.610000,6599,157606
13,0.159739,0.540000,8292,157606
14,0.156230,0.550000,4870,157606
15,0.152454,0.490000,5303,157606
16,0.147993,0.470000,4847,157606
17,0.142451,0.490000,4668,157606
18,0.135777,0.440000,5125,157606
19,0.128425,0.400000,4924,157606
20,0.121003,0.390000,4765,157606
21,0.113945,0.410000,5063,157606
22,0.107435,0.400000,4586,157606
23,0.101463,0.400000,5296,157606
24,0.095945,0.400000,4758,157606
25,0.090799,0.390000,4533,157606
26,0.085977,0.380000,4822,157606
27,0.081454,0.360000,4647,157606
28,0.077212,0.350000,4560,157606
29,0.073225,0.330000,4502,157606
30,0.069460,0.320000,4469,157606
31,0.065882,0.320000,4578,157606
32,0.062455,0.300000,4450,157606
33,0.059153,0.300000,5256,157606
34,0.055953,0.300000,5828,157606
35,0.052842,0.300000,8206,157606
36,0.049816,0.300000,5599,157606
37,0.046875,0.300000,5323,157606
38,0.044021,0.300000,5648,157606
39,0.041257,0.290000,4890,157606
40,0.038589,0.290000,4596,157606
41,0.036021,0.290000,4518,157606
42,0.033563,0.300000,4464,157606
43,0.031228,0.300000,4458,157606
44,0.029031,0.300000,4469,157606
45,0.026983,0.300000,4531,157606
46,0.025093,0.290000,4863,157606
47,0.023360,0.290000,4505,157606
48,0.021779,0.290000,4443,157606
49,0.020339,0.290000,4388,157606
