epoch,train_error,test_error,epoch_time,convergence_time
0,0.191544,0.930000,6775,241541
1,0.182990,0.920000,6760,241541
2,0.179204,0.890000,6717,241541
3,0.180140,0.850000,6722,241541
4,0.182232,0.860000,6685,241541
5,0.181402,0.860000,6722,241541
6,0.182494,0.860000,6705,241541
7,0.182744,0.980000,6659,241541
8,0.180632,0.850000,6862,241541
9,0.182981,0.860000,6652,241541
10,0.177896,0.720000,6656,241541
11,0.172529,0.740000,6725,241541
12,0.171291,0.700000,6657,241541
13,0.170527,0.730000,6747,241541
14,0.172046,0.630000,7308,241541
15,0.160750,0.710000,6957,241541
16,0.160188,0.600000,6796,241541
17,0.152779,0.600000,6739,241541
18,0.158414,0.630000,6669,241541
19,0.153493,0.510000,6686,241541
20,0.147021,0.550000,6667,241541
21,0.137199,0.470000,6654,241541
22,0.130048,0.480000,6656,241541
23,0.136458,0.380000,6656,241541
24,0.131622,0.480000,6641,241541
25,0.129234,0.400000,6643,241541
26,0.131504,0.340000,6633,241541
27,0.119907,0.350000,6629,241541
28,0.110506,0.340000,6644,241541
29,0.112512,0.270000,6623,241541
30,0.100853,0.290000,6645,241541
31,0.102363,0.280000,6686,241541
32,0.102693,0.300000,6637,241541
33,0.105939,0.300000,6632,241541
34,0.104161,0.250000,6641,241541
35,0.097573,0.280000,6641,241541
36,0.107046,0.260000,6629,241541
37,0.099318,0.240000,6644,241541
38,0.095457,0.300000,6647,241541
39,0.092932,0.220000,6634,241541
40,0.087378,0.240000,6644,241541
41,0.080724,0.230000,6661,241541
42,0.091673,0.220000,6648,241541
43,0.089096,0.230000,6640,241541
44,0.087088,0.190000,6649,241541
45,0.081554,0.190000,6620,241541
46,0.089576,0.200000,6588,241541
47,0.077031,0.230000,6553,241541
48,0.084407,0.210000,6522,241541
49,0.076742,0.190000,6531,241541
