epoch,train_error,test_error,epoch_time,convergence_time
0,0.187386,0.870000,12589,0
1,0.182814,0.870000,12478,0
2,0.184322,0.870000,12501,0
3,0.184461,0.870000,12506,0
4,0.182947,0.870000,12493,0
5,0.179948,0.870000,12489,0
6,0.176339,0.810000,12550,0
7,0.172511,0.690000,12480,0
8,0.168376,0.660000,12464,0
9,0.163996,0.650000,12455,0
10,0.159697,0.650000,12842,0
11,0.155817,0.640000,12479,0
12,0.152508,0.620000,12459,0
13,0.149743,0.600000,12533,0
14,0.147413,0.600000,12486,0
15,0.145404,0.580000,12483,0
16,0.143627,0.570000,12495,0
17,0.142021,0.570000,12537,0
18,0.140542,0.550000,12473,0
19,0.139159,0.550000,12462,0
20,0.137853,0.560000,12496,0
21,0.136610,0.550000,12501,0
22,0.135418,0.530000,12458,0
23,0.134271,0.530000,12470,0
24,0.133161,0.520000,12493,0
25,0.132086,0.510000,12469,0
26,0.131042,0.510000,12437,0
27,0.130026,0.520000,12462,0
28,0.129036,0.500000,12522,0
29,0.128071,0.510000,12605,0
30,0.127129,0.510000,12737,0
31,0.126209,0.500000,12703,0
32,0.125311,0.500000,12718,0
33,0.124432,0.500000,12833,0
34,0.123572,0.500000,12575,0
35,0.122731,0.490000,12482,0
36,0.121908,0.490000,12544,0
37,0.121101,0.480000,12605,0
38,0.120311,0.470000,12496,0
39,0.119537,0.480000,12580,0
40,0.118777,0.440000,12550,0
41,0.118032,0.440000,12538,0
42,0.117300,0.440000,12457,0
43,0.116582,0.420000,12506,0
44,0.115877,0.430000,12564,0
45,0.115183,0.430000,12513,0
46,0.114501,0.430000,12489,0
47,0.113830,0.420000,12544,0
48,0.113170,0.420000,12534,0
49,0.112520,0.420000,12639,0
