epoch,train_error,test_error,epoch_time,convergence_time
0,0.187138,0.870000,13115,373683
1,0.183176,0.870000,13143,373683
2,0.185403,0.870000,13109,373683
3,0.185260,0.870000,13164,373683
4,0.181576,0.870000,13081,373683
5,0.176299,0.850000,12986,373683
6,0.170961,0.710000,13272,373683
7,0.164915,0.710000,13046,373683
8,0.158534,0.700000,17318,373683
9,0.152946,0.650000,18008,373683
10,0.148473,0.640000,18263,373683
11,0.144751,0.610000,18356,373683
12,0.141390,0.590000,16937,373683
13,0.138162,0.590000,13459,373683
14,0.134949,0.530000,13576,373683
15,0.131695,0.510000,14555,373683
16,0.128372,0.460000,14283,373683
17,0.124972,0.450000,13741,373683
18,0.121497,0.440000,13862,373683
19,0.117958,0.450000,13876,373683
20,0.114377,0.450000,13974,373683
21,0.110780,0.450000,13661,373683
22,0.107200,0.450000,13900,373683
23,0.103667,0.450000,14947,373683
24,0.100202,0.440000,13190,373683
25,0.096818,0.430000,12851,373683
26,0.093517,0.420000,14808,373683
27,0.090294,0.420000,15058,373683
28,0.087145,0.390000,14448,373683
29,0.084061,0.370000,15281,373683
30,0.081031,0.380000,14138,373683
31,0.078047,0.360000,12659,373683
32,0.075102,0.350000,13030,373683
33,0.072191,0.340000,12981,373683
34,0.069314,0.320000,13245,373683
35,0.066474,0.320000,12811,373683
36,0.063675,0.320000,13376,373683
37,0.060925,0.320000,13012,373683
38,0.058232,0.320000,13285,373683
39,0.055602,0.320000,13654,373683
40,0.053042,0.320000,13223,373683
41,0.050557,0.320000,13084,373683
42,0.048153,0.320000,13095,373683
43,0.045832,0.320000,13253,373683
44,0.043598,0.320000,13145,373683
45,0.041454,0.320000,13251,373683
46,0.039401,0.320000,13847,373683
47,0.037440,0.320000,13118,373683
48,0.035571,0.320000,12875,373683
49,0.033791,0.320000,13235,373683
