epoch,train_error,test_error,epoch_time,convergence_time
0,0.187713,0.870000,12504,212375
1,0.188144,0.870000,12453,212375
2,0.185779,0.870000,12492,212375
3,0.179017,0.780000,12504,212375
4,0.171345,0.730000,12444,212375
5,0.161666,0.710000,12520,212375
6,0.153130,0.670000,12474,212375
7,0.146762,0.640000,12511,212375
8,0.141316,0.600000,12620,212375
9,0.135928,0.580000,12489,212375
10,0.130278,0.520000,12453,212375
11,0.124336,0.500000,12441,212375
12,0.118230,0.490000,12482,212375
13,0.112131,0.460000,12470,212375
14,0.106201,0.450000,12456,212375
15,0.100580,0.460000,12497,212375
16,0.095337,0.450000,12555,212375
17,0.090459,0.400000,12499,212375
18,0.085887,0.390000,12459,212375
19,0.081560,0.360000,12488,212375
20,0.077437,0.370000,12506,212375
21,0.073494,0.350000,12492,212375
22,0.069711,0.320000,12502,212375
23,0.066057,0.320000,12472,212375
24,0.062492,0.320000,12495,212375
25,0.059020,0.320000,12516,212375
26,0.055692,0.320000,12466,212375
27,0.052548,0.310000,12511,212375
28,0.049587,0.310000,12514,212375
29,0.046787,0.330000,12501,212375
30,0.044127,0.330000,12551,212375
31,0.041603,0.320000,12496,212375
32,0.039215,0.320000,12501,212375
33,0.036958,0.320000,12469,212375
34,0.034827,0.320000,12506,212375
35,0.032818,0.330000,12492,212375
36,0.030930,0.340000,12540,212375
37,0.029153,0.340000,12531,212375
38,0.027481,0.340000,13306,212375
39,0.025905,0.340000,12782,212375
40,0.024422,0.340000,12747,212375
41,0.023030,0.340000,12523,212375
42,0.021726,0.330000,12555,212375
43,0.020509,0.330000,12510,212375
44,0.019379,0.340000,12455,212375
45,0.018335,0.340000,12471,212375
46,0.017378,0.340000,12463,212375
47,0.016504,0.340000,12469,212375
48,0.015706,0.340000,12524,212375
49,0.014972,0.340000,12533,212375
