epoch,train_error,test_error,epoch_time,convergence_time
0,0.223392,0.870000,37140,565961
1,0.185354,0.870000,36091,565961
2,0.185025,0.870000,36492,565961
3,0.183871,0.810000,36377,565961
4,0.180335,0.810000,25547,565961
5,0.174209,0.760000,14732,565961
6,0.167840,0.740000,15101,565961
7,0.162535,0.710000,14632,565961
8,0.158243,0.690000,14422,565961
9,0.154590,0.680000,14434,565961
10,0.151313,0.650000,16012,565961
11,0.148304,0.610000,14488,565961
12,0.145515,0.580000,14607,565961
13,0.142897,0.560000,15092,565961
14,0.140385,0.560000,15636,565961
15,0.137918,0.550000,14498,565961
16,0.135449,0.540000,14461,565961
17,0.132965,0.530000,12572,565961
18,0.130470,0.520000,12142,565961
19,0.127975,0.520000,11950,565961
20,0.125507,0.510000,11965,565961
21,0.123094,0.510000,12007,565961
22,0.120772,0.510000,11980,565961
23,0.118566,0.510000,11987,565961
24,0.116485,0.530000,12003,565961
25,0.114516,0.530000,11920,565961
26,0.112636,0.530000,12037,565961
27,0.110826,0.530000,11968,565961
28,0.109074,0.540000,11923,565961
29,0.107374,0.540000,11948,565961
30,0.105719,0.530000,11935,565961
31,0.104096,0.510000,11942,565961
32,0.102498,0.470000,11980,565961
33,0.100942,0.480000,11965,565961
34,0.099457,0.480000,11965,565961
35,0.098060,0.470000,12052,565961
36,0.096750,0.470000,11979,565961
37,0.095503,0.480000,11983,565961
38,0.094277,0.480000,11980,565961
39,0.093014,0.490000,11968,565961
40,0.091657,0.490000,11968,565961
41,0.090172,0.480000,11970,565961
42,0.088556,0.470000,11985,565961
43,0.086831,0.470000,11913,565961
44,0.085024,0.470000,12185,565961
45,0.083168,0.470000,12067,565961
46,0.081332,0.470000,11987,565961
47,0.079611,0.470000,12035,565961
48,0.078066,0.470000,12043,565961
49,0.076702,0.460000,12026,565961
