epoch,train_error,test_error,epoch_time,convergence_time
0,0.191078,0.940000,13701,482043
1,0.181060,0.900000,13739,482043
2,0.184200,0.780000,14102,482043
3,0.184758,0.860000,14210,482043
4,0.180584,0.790000,13714,482043
5,0.177611,0.740000,13679,482043
6,0.168454,0.830000,13730,482043
7,0.165988,0.550000,13817,482043
8,0.159621,0.610000,13705,482043
9,0.155423,0.620000,13695,482043
10,0.151174,0.470000,13711,482043
11,0.149263,0.620000,13749,482043
12,0.147285,0.440000,13796,482043
13,0.145894,0.480000,13698,482043
14,0.141022,0.590000,13667,482043
15,0.143333,0.520000,13766,482043
16,0.134299,0.530000,13741,482043
17,0.136084,0.470000,13663,482043
18,0.133236,0.500000,13674,482043
19,0.127301,0.480000,13653,482043
20,0.128773,0.420000,13655,482043
21,0.128124,0.370000,13954,482043
22,0.125492,0.390000,13809,482043
23,0.124952,0.450000,13677,482043
24,0.126002,0.340000,13695,482043
25,0.117075,0.470000,14007,482043
26,0.122846,0.390000,13880,482043
27,0.115890,0.460000,13836,482043
28,0.115879,0.360000,13844,482043
29,0.116462,0.340000,13726,482043
30,0.114280,0.370000,13778,482043
31,0.108387,0.460000,13702,482043
32,0.104695,0.390000,13710,482043
33,0.105759,0.380000,13769,482043
34,0.099488,0.410000,13782,482043
35,0.110811,0.350000,13836,482043
36,0.107370,0.360000,13698,482043
37,0.106676,0.370000,14167,482043
38,0.105611,0.340000,13730,482043
39,0.095744,0.400000,13766,482043
40,0.107391,0.300000,13767,482043
41,0.103981,0.300000,13775,482043
42,0.102853,0.310000,13758,482043
43,0.093731,0.260000,13737,482043
44,0.085844,0.370000,13740,482043
45,0.097568,0.350000,13685,482043
46,0.093819,0.330000,13684,482043
47,0.097188,0.320000,13726,482043
48,0.103323,0.270000,13767,482043
49,0.098992,0.330000,13728,482043
